2025-07-28 14:49:52 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 14:49:54 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 14:55:36 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 14:55:43 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 14:55:44 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 14:55:46 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 15:04:39 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 15:04:46 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 15:04:46 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 15:04:48 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 15:42:29 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 15:42:36 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 15:42:36 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 15:42:39 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 15:43:18 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 15:43:26 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 15:43:26 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 15:43:29 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 18:36:14 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
2025-07-28 18:36:23 | INFO | RCS.page.login_page.login_page | Log in as facilitymanager is successful 
2025-07-28 18:36:24 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking the menu button.
2025-07-28 18:36:25 | INFO | RCS.page.navigation_menu.navigation_menu | Clicking Device Management in the navigation menu.
2025-07-28 18:37:48 | INFO | RCS.page.login_page.login_page | Application is Launched successfully
